Assembly	MD1_fullfilteredscaffolds_NOHIT_k127
# contigs (>= 0 bp)	1572
# contigs (>= 1000 bp)	1300
# contigs (>= 5000 bp)	1048
# contigs (>= 10000 bp)	851
# contigs (>= 25000 bp)	504
# contigs (>= 50000 bp)	241
Total length (>= 0 bp)	36773086
Total length (>= 1000 bp)	36662326
Total length (>= 5000 bp)	35953006
Total length (>= 10000 bp)	34552807
Total length (>= 25000 bp)	28744948
Total length (>= 50000 bp)	19318223
# contigs	1360
Largest contig	261654
Total length	36704681
GC (%)	55.28
N50	53233
N75	28034
L50	223
L75	458
# N's per 100 kbp	0.71
